"","light","nm","suc","tot","time","perc","prop","obs"
"1","broad",0.8,14,30,"12h",46.6666666666667,0.466666666666667,"001"
"2","broad",0.8,13,30,"12h",43.3333333333333,0.433333333333333,"002"
"3","broad",0.8,13,30,"12h",43.3333333333333,0.433333333333333,"003"
"4","broad",0.8,14,30,"12h",46.6666666666667,0.466666666666667,"004"
"5","broad",0.8,18,30,"12h",60,0.6,"005"
"6","blue",450,25,30,"12h",83.3333333333333,0.833333333333333,"006"
"7","blue",450,10,30,"12h",33.3333333333333,0.333333333333333,"007"
"8","blue",450,14,30,"12h",46.6666666666667,0.466666666666667,"008"
"9","blue",450,10,30,"12h",33.3333333333333,0.333333333333333,"009"
"10","blue",450,15,30,"12h",50,0.5,"010"
"11","green",505,11,30,"12h",36.6666666666667,0.366666666666667,"011"
"12","green",505,13,30,"12h",43.3333333333333,0.433333333333333,"012"
"13","green",505,5,30,"12h",16.6666666666667,0.166666666666667,"013"
"14","green",505,17,30,"12h",56.6666666666667,0.566666666666667,"014"
"15","green",505,11,30,"12h",36.6666666666667,0.366666666666667,"015"
"16","yellow",596,18,30,"12h",60,0.6,"016"
"17","yellow",596,4,30,"12h",13.3333333333333,0.133333333333333,"017"
"18","yellow",596,8,30,"12h",26.6666666666667,0.266666666666667,"018"
"19","yellow",596,11,30,"12h",36.6666666666667,0.366666666666667,"019"
"20","yellow",596,10,30,"12h",33.3333333333333,0.333333333333333,"020"
"21","red",625,14,30,"12h",46.6666666666667,0.466666666666667,"021"
"22","red",625,13,30,"12h",43.3333333333333,0.433333333333333,"022"
"23","red",625,15,30,"12h",50,0.5,"023"
"24","red",625,9,30,"12h",30,0.3,"024"
"25","red",625,16,30,"12h",53.3333333333333,0.533333333333333,"025"
"26","broad",0.8,20,30,"24h",66.6666666666667,0.666666666666667,"026"
"27","broad",0.8,15,30,"24h",50,0.5,"027"
"28","broad",0.8,22,30,"24h",73.3333333333333,0.733333333333333,"028"
"29","broad",0.8,15,30,"24h",50,0.5,"029"
"30","broad",0.8,22,30,"24h",73.3333333333333,0.733333333333333,"030"
"31","blue",450,28,30,"24h",93.3333333333333,0.933333333333333,"031"
"32","blue",450,17,30,"24h",56.6666666666667,0.566666666666667,"032"
"33","blue",450,21,30,"24h",70,0.7,"033"
"34","blue",450,12,30,"24h",40,0.4,"034"
"35","blue",450,20,30,"24h",66.6666666666667,0.666666666666667,"035"
"36","green",505,13,30,"24h",43.3333333333333,0.433333333333333,"036"
"37","green",505,10,30,"24h",33.3333333333333,0.333333333333333,"037"
"38","green",505,12,30,"24h",40,0.4,"038"
"39","green",505,19,30,"24h",63.3333333333333,0.633333333333333,"039"
"40","green",505,14,30,"24h",46.6666666666667,0.466666666666667,"040"
"41","yellow",596,20,30,"24h",66.6666666666667,0.666666666666667,"041"
"42","yellow",596,7,30,"24h",23.3333333333333,0.233333333333333,"042"
"43","yellow",596,8,30,"24h",26.6666666666667,0.266666666666667,"043"
"44","yellow",596,15,30,"24h",50,0.5,"044"
"45","yellow",596,13,30,"24h",43.3333333333333,0.433333333333333,"045"
"46","red",625,16,30,"24h",53.3333333333333,0.533333333333333,"046"
"47","red",625,15,30,"24h",50,0.5,"047"
"48","red",625,16,30,"24h",53.3333333333333,0.533333333333333,"048"
"49","red",625,12,30,"24h",40,0.4,"049"
"50","red",625,15,30,"24h",50,0.5,"050"
