"","light","suc","tot","time","intensity","prop","obs","merge"
"1","broad",15,30,"12h","high",0.5,"001","broad high"
"2","broad",16,30,"12h","high",0.533333333333333,"002","broad high"
"3","broad",18,30,"12h","high",0.6,"003","broad high"
"4","broad",11,30,"12h","high",0.366666666666667,"004","broad high"
"5","broad",8,30,"12h","high",0.266666666666667,"005","broad high"
"6","broad",9,30,"12h","high",0.3,"006","broad high"
"7","blue",18,30,"12h","low",0.6,"007","blue low"
"8","blue",33,40,"12h","low",0.825,"008","blue low"
"9","blue",20,30,"12h","low",0.666666666666667,"009","blue low"
"10","blue",20,30,"12h","low",0.666666666666667,"010","blue low"
"11","blue",14,30,"12h","low",0.466666666666667,"011","blue low"
"12","blue",17,30,"12h","low",0.566666666666667,"012","blue low"
"13","blue",18,30,"12h","high",0.6,"013","blue high"
"14","blue",21,30,"12h","high",0.7,"014","blue high"
"15","blue",9,30,"12h","high",0.3,"015","blue high"
"16","blue",10,30,"12h","high",0.333333333333333,"016","blue high"
"17","blue",9,30,"12h","high",0.3,"017","blue high"
"18","blue",16,30,"12h","high",0.533333333333333,"018","blue high"
"19","broad",14,30,"12h","low",0.466666666666667,"019","broad low"
"20","broad",22,30,"12h","low",0.733333333333333,"020","broad low"
"21","broad",22,30,"12h","low",0.733333333333333,"021","broad low"
"22","broad",17,30,"12h","low",0.566666666666667,"022","broad low"
"23","broad",13,30,"12h","low",0.433333333333333,"023","broad low"
"24","broad",18,30,"12h","low",0.6,"024","broad low"
"25","broad",17,30,"24h","high",0.566666666666667,"025","broad high"
"26","broad",18,30,"24h","high",0.6,"026","broad high"
"27","broad",18,30,"24h","high",0.6,"027","broad high"
"28","broad",13,30,"24h","high",0.433333333333333,"028","broad high"
"29","broad",8,30,"24h","high",0.266666666666667,"029","broad high"
"30","broad",9,30,"24h","high",0.3,"030","broad high"
"31","blue",18,30,"24h","low",0.6,"031","blue low"
"32","blue",33,40,"24h","low",0.825,"032","blue low"
"33","blue",23,30,"24h","low",0.766666666666667,"033","blue low"
"34","blue",21,30,"24h","low",0.7,"034","blue low"
"35","blue",15,30,"24h","low",0.5,"035","blue low"
"36","blue",18,30,"24h","low",0.6,"036","blue low"
"37","blue",20,30,"24h","high",0.666666666666667,"037","blue high"
"38","blue",21,30,"24h","high",0.7,"038","blue high"
"39","blue",9,30,"24h","high",0.3,"039","blue high"
"40","blue",11,30,"24h","high",0.366666666666667,"040","blue high"
"41","blue",9,30,"24h","high",0.3,"041","blue high"
"42","blue",18,30,"24h","high",0.6,"042","blue high"
"43","broad",15,30,"24h","low",0.5,"043","broad low"
"44","broad",22,30,"24h","low",0.733333333333333,"044","broad low"
"45","broad",23,30,"24h","low",0.766666666666667,"045","broad low"
"46","broad",18,30,"24h","low",0.6,"046","broad low"
"47","broad",13,30,"24h","low",0.433333333333333,"047","broad low"
"48","broad",19,30,"24h","low",0.633333333333333,"048","broad low"
