"","contrast","time",".chain",".iteration",".draw",".value"
"1","Blue low - Broad low","12 h",NA,NA,1,-0.967916005644876
"2","Blue low - Broad low","12 h",NA,NA,2,-0.985385120828292
"3","Blue low - Broad low","12 h",NA,NA,3,-0.997290254312516
"4","Blue low - Broad low","12 h",NA,NA,4,-0.593992719024173
"5","Blue low - Broad low","12 h",NA,NA,5,-0.336128392809069
"6","Blue low - Broad low","12 h",NA,NA,6,-0.698170586394416
"7","Blue low - Broad low","12 h",NA,NA,7,-0.495819345910526
"8","Blue low - Broad low","12 h",NA,NA,8,-0.882217403108893
"9","Blue low - Broad low","12 h",NA,NA,9,-0.423983537719733
"10","Blue low - Broad low","12 h",NA,NA,10,-0.992783008447765
"11","Blue low - Broad low","12 h",NA,NA,11,-1.11786467134598
"12","Blue low - Broad low","12 h",NA,NA,12,-0.604785762543141
"13","Blue low - Broad low","12 h",NA,NA,13,-0.629136257017052
"14","Blue low - Broad low","12 h",NA,NA,14,-0.223419798936576
"15","Blue low - Broad low","12 h",NA,NA,15,-0.570561636293574
"16","Blue low - Broad low","12 h",NA,NA,16,-1.72116914455499
"17","Blue low - Broad low","12 h",NA,NA,17,-0.221814910402898
"18","Blue low - Broad low","12 h",NA,NA,18,-1.00703860964459
"19","Blue low - Broad low","12 h",NA,NA,19,-1.07609244481082
"20","Blue low - Broad low","12 h",NA,NA,20,-0.767543136481484
"21","Blue low - Broad low","12 h",NA,NA,21,-1.06846367144797
"22","Blue low - Broad low","12 h",NA,NA,22,-0.559514208844784
"23","Blue low - Broad low","12 h",NA,NA,23,-0.356545311349228
"24","Blue low - Broad low","12 h",NA,NA,24,-0.623488981720782
"25","Blue low - Broad low","12 h",NA,NA,25,-0.710785263228997
"26","Blue low - Broad low","12 h",NA,NA,26,-0.656386803612494
"27","Blue low - Broad low","12 h",NA,NA,27,-0.993975984314346
"28","Blue low - Broad low","12 h",NA,NA,28,-0.480573501190695
"29","Blue low - Broad low","12 h",NA,NA,29,-0.94764345039495
"30","Blue low - Broad low","12 h",NA,NA,30,-0.76445550174819
"31","Blue low - Broad low","12 h",NA,NA,31,-0.569572866678462
"32","Blue low - Broad low","12 h",NA,NA,32,-0.607960845871866
"33","Blue low - Broad low","12 h",NA,NA,33,-1.51807670544847
"34","Blue low - Broad low","12 h",NA,NA,34,-1.21551579503883
"35","Blue low - Broad low","12 h",NA,NA,35,-0.835557794355221
"36","Blue low - Broad low","12 h",NA,NA,36,-0.586111658556754
"37","Blue low - Broad low","12 h",NA,NA,37,-0.822270535379667
"38","Blue low - Broad low","12 h",NA,NA,38,-0.470802954485046
"39","Blue low - Broad low","12 h",NA,NA,39,-0.83221137979168
"40","Blue low - Broad low","12 h",NA,NA,40,-0.82878675273636
"41","Blue low - Broad low","12 h",NA,NA,41,-0.489918069299874
"42","Blue low - Broad low","12 h",NA,NA,42,-0.785474824946716
"43","Blue low - Broad low","12 h",NA,NA,43,-1.13708055665861
"44","Blue low - Broad low","12 h",NA,NA,44,-0.846249816721075
"45","Blue low - Broad low","12 h",NA,NA,45,-0.82125748863478
