"","raw.x","suc","tot","time","prop","obs"
"1",9.4,23,30,"12h",0.766666666666667,"001"
"2",9.4,29,30,"12h",0.966666666666667,"002"
"3",9.4,23,30,"12h",0.766666666666667,"003"
"4",9.4,26,30,"12h",0.866666666666667,"004"
"5",9.4,21,30,"12h",0.7,"005"
"6",9.4,27,30,"12h",0.9,"006"
"7",1.5,25,30,"12h",0.833333333333333,"007"
"8",1.5,23,30,"12h",0.766666666666667,"008"
"9",1.5,20,30,"12h",0.666666666666667,"009"
"10",1.5,22,30,"12h",0.733333333333333,"010"
"11",1.5,21,30,"12h",0.7,"011"
"12",1.5,26,30,"12h",0.866666666666667,"012"
"13",3,25,30,"12h",0.833333333333333,"013"
"14",3,21,30,"12h",0.7,"014"
"15",3,20,30,"12h",0.666666666666667,"015"
"16",3,21,30,"12h",0.7,"016"
"17",3,24,30,"12h",0.8,"017"
"18",3,21,30,"12h",0.7,"018"
"19",0.8,24,30,"12h",0.8,"019"
"20",0.8,27,30,"12h",0.9,"020"
"21",0.8,18,30,"12h",0.6,"021"
"22",0.8,21,30,"12h",0.7,"022"
"23",0.8,23,30,"12h",0.766666666666667,"023"
"24",0.8,20,30,"12h",0.666666666666667,"024"
"31",9.4,23,30,"24h",0.766666666666667,"031"
"32",9.4,29,30,"24h",0.966666666666667,"032"
"33",9.4,21,30,"24h",0.7,"033"
"34",9.4,23,30,"24h",0.766666666666667,"034"
"35",9.4,21,30,"24h",0.7,"035"
"36",9.4,25,30,"24h",0.833333333333333,"036"
"37",1.5,25,30,"24h",0.833333333333333,"037"
"38",1.5,22,30,"24h",0.733333333333333,"038"
"39",1.5,26,30,"24h",0.866666666666667,"039"
"40",1.5,23,30,"24h",0.766666666666667,"040"
"41",1.5,25,30,"24h",0.833333333333333,"041"
"42",1.5,25,30,"24h",0.833333333333333,"042"
"43",3,25,30,"24h",0.833333333333333,"043"
"44",3,23,30,"24h",0.766666666666667,"044"
"45",3,24,30,"24h",0.8,"045"
"46",3,23,30,"24h",0.766666666666667,"046"
"47",3,24,30,"24h",0.8,"047"
"48",3,22,30,"24h",0.733333333333333,"048"
"49",0.8,25,30,"24h",0.833333333333333,"049"
"50",0.8,26,30,"24h",0.866666666666667,"050"
"51",0.8,22,30,"24h",0.733333333333333,"051"
"52",0.8,23,30,"24h",0.766666666666667,"052"
"53",0.8,23,30,"24h",0.766666666666667,"053"
"54",0.8,23,30,"24h",0.766666666666667,"054"
