"","raw.x","spec","time","tank","rep","counts","tot","prop","obs"
"1",30,"whi","12",1,1,17,30,0.566666666666667,"001"
"2",30,"whi","12",1,2,20,30,0.666666666666667,"002"
"3",30,"whi","12",1,3,18,30,0.6,"003"
"4",30,"whi","12",1,4,13,30,0.433333333333333,"004"
"5",30,"whi","12",1,5,24,30,0.8,"005"
"6",300,"whi","12",2,1,19,30,0.633333333333333,"006"
"7",300,"whi","12",2,2,14,30,0.466666666666667,"007"
"8",300,"whi","12",2,3,9,30,0.3,"008"
"9",300,"whi","12",2,4,22,30,0.733333333333333,"009"
"10",300,"whi","12",2,5,22,30,0.733333333333333,"010"
"11",100,"yel","12",3,1,15,30,0.5,"011"
"12",100,"yel","12",3,2,17,30,0.566666666666667,"012"
"13",100,"yel","12",3,3,21,30,0.7,"013"
"14",100,"yel","12",3,4,24,30,0.8,"014"
"15",100,"yel","12",3,5,19,30,0.633333333333333,"015"
"16",30,"yel","12",4,1,18,30,0.6,"016"
"17",30,"yel","12",4,2,17,30,0.566666666666667,"017"
"18",30,"yel","12",4,3,12,30,0.4,"018"
"19",30,"yel","12",4,4,14,30,0.466666666666667,"019"
"20",30,"yel","12",4,5,24,30,0.8,"020"
"21",10,"whi","12",5,1,20,30,0.666666666666667,"021"
"22",10,"whi","12",5,2,18,30,0.6,"022"
"23",10,"whi","12",5,3,18,30,0.6,"023"
"24",10,"whi","12",5,4,19,30,0.633333333333333,"024"
"25",10,"whi","12",5,5,20,30,0.666666666666667,"025"
"26",300,"yel","12",6,1,12,30,0.4,"026"
"27",300,"yel","12",6,2,13,30,0.433333333333333,"027"
"28",300,"yel","12",6,3,20,30,0.666666666666667,"028"
"29",300,"yel","12",6,4,14,30,0.466666666666667,"029"
"30",300,"yel","12",6,5,17,30,0.566666666666667,"030"
"31",100,"whi","12",7,1,18,30,0.6,"031"
"32",100,"whi","12",7,2,20,30,0.666666666666667,"032"
"33",100,"whi","12",7,3,14,30,0.466666666666667,"033"
"34",100,"whi","12",7,4,16,30,0.533333333333333,"034"
"35",100,"whi","12",7,5,13,30,0.433333333333333,"035"
"36",0.1,"whi","12",8,1,18,30,0.6,"036"
"37",0.1,"whi","12",8,2,19,30,0.633333333333333,"037"
"38",0.1,"whi","12",8,3,28,30,0.933333333333333,"038"
"39",0.1,"whi","12",8,4,23,30,0.766666666666667,"039"
"40",0.1,"whi","12",8,5,21,30,0.7,"040"
"41",0.1,"yel","12",8,1,18,30,0.6,"041"
"42",0.1,"yel","12",8,2,19,30,0.633333333333333,"042"
"43",0.1,"yel","12",8,3,28,30,0.933333333333333,"043"
"44",0.1,"yel","12",8,4,23,30,0.766666666666667,"044"
"45",0.1,"yel","12",8,5,21,30,0.7,"045"
"46",30,"whi","12",9,1,16,30,0.533333333333333,"046"
"47",30,"whi","12",9,2,18,30,0.6,"047"
"48",30,"whi","12",9,3,19,30,0.633333333333333,"048"
"49",30,"whi","12",9,4,24,30,0.8,"049"
