"","treat","suc","tot","time","prop","obs"
"1","whi",7,30,"12h",0.233333333333333,"001"
"2","whi",5,30,"12h",0.166666666666667,"002"
"3","whi",7,30,"12h",0.233333333333333,"003"
"4","whi",9,30,"12h",0.3,"004"
"5","whi",10,30,"12h",0.333333333333333,"005"
"6","whi",1,30,"12h",0.0333333333333333,"006"
"7","yel",5,30,"12h",0.166666666666667,"007"
"8","yel",8,30,"12h",0.266666666666667,"008"
"9","yel",1,30,"12h",0.0333333333333333,"009"
"10","yel",2,30,"12h",0.0666666666666667,"010"
"11","yel",3,30,"12h",0.1,"011"
"12","yel",0,30,"12h",0,"012"
"13","blue",9,30,"12h",0.3,"013"
"14","blue",4,30,"12h",0.133333333333333,"014"
"15","blue",8,30,"12h",0.266666666666667,"015"
"16","blue",7,30,"12h",0.233333333333333,"016"
"17","blue",7,30,"12h",0.233333333333333,"017"
"18","blue",1,30,"12h",0.0333333333333333,"018"
"19","red",22,30,"12h",0.733333333333333,"019"
"20","red",20,30,"12h",0.666666666666667,"020"
"21","red",6,30,"12h",0.2,"021"
"22","red",3,30,"12h",0.1,"022"
"23","red",18,30,"12h",0.6,"023"
"24","red",15,30,"12h",0.5,"024"
"25","whi",9,30,"24h",0.3,"025"
"26","whi",5,30,"24h",0.166666666666667,"026"
"27","whi",7,30,"24h",0.233333333333333,"027"
"28","whi",10,30,"24h",0.333333333333333,"028"
"29","whi",11,30,"24h",0.366666666666667,"029"
"30","whi",1,30,"24h",0.0333333333333333,"030"
"31","yel",6,30,"24h",0.2,"031"
"32","yel",8,30,"24h",0.266666666666667,"032"
"33","yel",1,30,"24h",0.0333333333333333,"033"
"34","yel",2,30,"24h",0.0666666666666667,"034"
"35","yel",4,30,"24h",0.133333333333333,"035"
"36","yel",1,30,"24h",0.0333333333333333,"036"
"37","blue",9,30,"24h",0.3,"037"
"38","blue",5,30,"24h",0.166666666666667,"038"
"39","blue",9,30,"24h",0.3,"039"
"40","blue",7,30,"24h",0.233333333333333,"040"
"41","blue",8,30,"24h",0.266666666666667,"041"
"42","blue",1,30,"24h",0.0333333333333333,"042"
"43","red",23,30,"24h",0.766666666666667,"043"
"44","red",18,30,"24h",0.6,"044"
"45","red",11,30,"24h",0.366666666666667,"045"
"46","red",3,30,"24h",0.1,"046"
"47","red",20,30,"24h",0.666666666666667,"047"
"48","red",13,30,"24h",0.433333333333333,"048"
