"","contrast",".chain",".iteration",".draw",".value"
"1","red - whi",NA,NA,1,1.50200757349347
"2","red - whi",NA,NA,2,1.60739842309785
"3","red - whi",NA,NA,3,1.10902101372963
"4","red - whi",NA,NA,4,1.55518966273207
"5","red - whi",NA,NA,5,1.21644434799857
"6","red - whi",NA,NA,6,1.95888858835969
"7","red - whi",NA,NA,7,2.04908483316551
"8","red - whi",NA,NA,8,-1.29358488443957
"9","red - whi",NA,NA,9,-0.892599987686512
"10","red - whi",NA,NA,10,-1.3274756831428
"11","red - whi",NA,NA,11,-0.678220495568297
"12","red - whi",NA,NA,12,0.743820606076128
"13","red - whi",NA,NA,13,1.67262688579507
"14","red - whi",NA,NA,14,0.547201819472972
"15","red - whi",NA,NA,15,0.0493359450581388
"16","red - whi",NA,NA,16,0.842375399150746
"17","red - whi",NA,NA,17,-0.567731400551162
"18","red - whi",NA,NA,18,-0.557272482808526
"19","red - whi",NA,NA,19,0.920210011462656
"20","red - whi",NA,NA,20,0.619066516810249
"21","red - whi",NA,NA,21,0.44109948826608
"22","red - whi",NA,NA,22,0.751390602943166
"23","red - whi",NA,NA,23,0.191620238751423
"24","red - whi",NA,NA,24,1.42479514167945
"25","red - whi",NA,NA,25,0.715830861774979
"26","red - whi",NA,NA,26,0.717287310003532
"27","red - whi",NA,NA,27,0.786233001543299
"28","red - whi",NA,NA,28,1.02461964011628
"29","red - whi",NA,NA,29,1.59856831506587
"30","red - whi",NA,NA,30,0.978800122569682
"31","red - whi",NA,NA,31,0.584522418360299
"32","red - whi",NA,NA,32,1.39228987377394
"33","red - whi",NA,NA,33,-0.951388380698327
"34","red - whi",NA,NA,34,-0.280487191254592
"35","red - whi",NA,NA,35,-0.132437414024283
"36","red - whi",NA,NA,36,1.24574719820712
"37","red - whi",NA,NA,37,0.503577521982218
"38","red - whi",NA,NA,38,1.43171249666413
"39","red - whi",NA,NA,39,1.55945964769494
"40","red - whi",NA,NA,40,2.0627373542021
"41","red - whi",NA,NA,41,1.3373086308084
