"","raw.x","suc","tot","time","log.x","prop","obs"
"1",0.01,8,10,"Exposure",-2,0.8,"001"
"2",0.01,5,10,"Exposure",-2,0.5,"002"
"3",0.01,7,10,"Exposure",-2,0.7,"003"
"4",0.01,7,10,"Exposure",-2,0.7,"004"
"5",0.01,9,10,"Exposure",-2,0.9,"005"
"6",0.3,8,10,"Exposure",-0.522878745280338,0.8,"006"
"7",0.3,7,10,"Exposure",-0.522878745280338,0.7,"007"
"8",0.3,6,10,"Exposure",-0.522878745280338,0.6,"008"
"9",0.3,6,10,"Exposure",-0.522878745280338,0.6,"009"
"10",0.3,6,10,"Exposure",-0.522878745280338,0.6,"010"
"11",1,10,10,"Exposure",0,1,"011"
"12",1,6,10,"Exposure",0,0.6,"012"
"13",1,6,10,"Exposure",0,0.6,"013"
"14",1,10,10,"Exposure",0,1,"014"
"15",1,7,10,"Exposure",0,0.7,"015"
"16",3,8,10,"Exposure",0.477121254719662,0.8,"016"
"17",3,7,10,"Exposure",0.477121254719662,0.7,"017"
"18",3,8,10,"Exposure",0.477121254719662,0.8,"018"
"19",3,7,10,"Exposure",0.477121254719662,0.7,"019"
"20",3,9,10,"Exposure",0.477121254719662,0.9,"020"
"21",10,9,10,"Exposure",1,0.9,"021"
"22",10,10,10,"Exposure",1,1,"022"
"23",10,8,10,"Exposure",1,0.8,"023"
"24",10,4,10,"Exposure",1,0.4,"024"
"25",10,8,10,"Exposure",1,0.8,"025"
"26",30,9,10,"Exposure",1.47712125471966,0.9,"026"
"27",30,9,10,"Exposure",1.47712125471966,0.9,"027"
"28",30,9,10,"Exposure",1.47712125471966,0.9,"028"
"29",30,5,10,"Exposure",1.47712125471966,0.5,"029"
"30",30,7,10,"Exposure",1.47712125471966,0.7,"030"
"31",100,6,10,"Exposure",2,0.6,"031"
"32",100,9,10,"Exposure",2,0.9,"032"
"33",100,3,10,"Exposure",2,0.3,"033"
"34",100,7,10,"Exposure",2,0.7,"034"
"35",100,1,10,"Exposure",2,0.1,"035"
"36",300,3,10,"Exposure",2.47712125471966,0.3,"036"
"37",300,2,10,"Exposure",2.47712125471966,0.2,"037"
"38",300,2,10,"Exposure",2.47712125471966,0.2,"038"
"39",300,0,10,"Exposure",2.47712125471966,0,"039"
"40",300,0,10,"Exposure",2.47712125471966,0,"040"
"41",0.01,4,10,"Recovery",-2,0.4,"041"
"42",0.01,6,10,"Recovery",-2,0.6,"042"
"43",0.01,4,10,"Recovery",-2,0.4,"043"
"44",0.01,6,10,"Recovery",-2,0.6,"044"
"45",0.01,7,10,"Recovery",-2,0.7,"045"
"46",0.3,7,10,"Recovery",-0.522878745280338,0.7,"046"
"47",0.3,4,10,"Recovery",-0.522878745280338,0.4,"047"
"48",0.3,5,10,"Recovery",-0.522878745280338,0.5,"048"
"49",0.3,6,10,"Recovery",-0.522878745280338,0.6,"049"
"50",0.3,7,10,"Recovery",-0.522878745280338,0.7,"050"
"51",1,7,10,"Recovery",0,0.7,"051"
"52",1,7,10,"Recovery",0,0.7,"052"
"53",1,2,10,"Recovery",0,0.2,"053"
"54",1,9,10,"Recovery",0,0.9,"054"
"55",1,4,10,"Recovery",0,0.4,"055"
"56",3,5,10,"Recovery",0.477121254719662,0.5,"056"
"57",3,7,10,"Recovery",0.477121254719662,0.7,"057"
"58",3,6,10,"Recovery",0.477121254719662,0.6,"058"
"59",3,2,10,"Recovery",0.477121254719662,0.2,"059"
"60",3,10,10,"Recovery",0.477121254719662,1,"060"
"61",10,7,10,"Recovery",1,0.7,"061"
"62",10,7,10,"Recovery",1,0.7,"062"
"63",10,6,10,"Recovery",1,0.6,"063"
"64",10,2,10,"Recovery",1,0.2,"064"
"65",10,10,10,"Recovery",1,1,"065"
"66",30,8,10,"Recovery",1.47712125471966,0.8,"066"
"67",30,7,10,"Recovery",1.47712125471966,0.7,"067"
"68",30,4,10,"Recovery",1.47712125471966,0.4,"068"
"69",30,9,10,"Recovery",1.47712125471966,0.9,"069"
"70",30,7,10,"Recovery",1.47712125471966,0.7,"070"
"71",100,8,10,"Recovery",2,0.8,"071"
"72",100,6,10,"Recovery",2,0.6,"072"
"73",100,4,10,"Recovery",2,0.4,"073"
"74",100,6,10,"Recovery",2,0.6,"074"
"75",100,8,10,"Recovery",2,0.8,"075"
"76",300,1,10,"Recovery",2.47712125471966,0.1,"076"
"77",300,1,10,"Recovery",2.47712125471966,0.1,"077"
"78",300,3,10,"Recovery",2.47712125471966,0.3,"078"
"79",300,6,10,"Recovery",2.47712125471966,0.6,"079"
"80",300,4,10,"Recovery",2.47712125471966,0.4,"080"
