"","raw.x","suc","tot","time","log.x","prop","obs"
"1",0.01,8,10,"Exposure",-2,0.8,"001"
"2",0.01,2,10,"Exposure",-2,0.2,"002"
"3",0.01,8,10,"Exposure",-2,0.8,"003"
"4",0.01,9,10,"Exposure",-2,0.9,"004"
"5",0.01,7,10,"Exposure",-2,0.7,"005"
"6",0.01,9,10,"Exposure",-2,0.9,"006"
"7",0.25,8,10,"Exposure",-0.602059991327962,0.8,"007"
"8",0.25,5,10,"Exposure",-0.602059991327962,0.5,"008"
"9",0.25,8,10,"Exposure",-0.602059991327962,0.8,"009"
"10",0.25,9,10,"Exposure",-0.602059991327962,0.9,"010"
"11",0.25,7,10,"Exposure",-0.602059991327962,0.7,"011"
"12",0.25,9,10,"Exposure",-0.602059991327962,0.9,"012"
"13",0.833333333,9,10,"Exposure",-0.0791812462213426,0.9,"013"
"14",0.833333333,4,10,"Exposure",-0.0791812462213426,0.4,"014"
"15",0.833333333,10,10,"Exposure",-0.0791812462213426,1,"015"
"16",0.833333333,10,10,"Exposure",-0.0791812462213426,1,"016"
"17",0.833333333,9,10,"Exposure",-0.0791812462213426,0.9,"017"
"18",0.833333333,6,10,"Exposure",-0.0791812462213426,0.6,"018"
"19",2.5,8,10,"Exposure",0.397940008672038,0.8,"019"
"20",2.5,4,10,"Exposure",0.397940008672038,0.4,"020"
"21",2.5,7,10,"Exposure",0.397940008672038,0.7,"021"
"22",2.5,8,10,"Exposure",0.397940008672038,0.8,"022"
"23",2.5,4,10,"Exposure",0.397940008672038,0.4,"023"
"24",2.5,6,10,"Exposure",0.397940008672038,0.6,"024"
"25",8.333333333,6,10,"Exposure",0.920818753935003,0.6,"025"
"26",8.333333333,7,10,"Exposure",0.920818753935003,0.7,"026"
"27",8.333333333,7,10,"Exposure",0.920818753935003,0.7,"027"
"28",8.333333333,7,10,"Exposure",0.920818753935003,0.7,"028"
"29",8.333333333,7,10,"Exposure",0.920818753935003,0.7,"029"
"30",8.333333333,9,10,"Exposure",0.920818753935003,0.9,"030"
"31",25,5,10,"Exposure",1.39794000867204,0.5,"031"
"32",25,6,10,"Exposure",1.39794000867204,0.6,"032"
"33",25,4,10,"Exposure",1.39794000867204,0.4,"033"
"34",25,8,10,"Exposure",1.39794000867204,0.8,"034"
"35",25,8,10,"Exposure",1.39794000867204,0.8,"035"
"36",25,5,10,"Exposure",1.39794000867204,0.5,"036"
"37",83.33333333,6,10,"Exposure",1.920818753935,0.6,"037"
