"","raw.x","plug","prop","time"
"161",0.01,"1",0.567,"Exposure"
"162",0.01,"2",0.572,"Exposure"
"163",0.01,"3",0.578,"Exposure"
"164",0.01,"4",0.597,"Exposure"
"165",0.01,"5",0.569,"Exposure"
"166",0.25,"6",0.615,"Exposure"
"167",0.25,"7",0.51,"Exposure"
"168",0.25,"8",0.514,"Exposure"
"169",0.25,"9",0.588,"Exposure"
"170",0.25,"10",0.475,"Exposure"
"171",0.833333333,"11",0.562,"Exposure"
"172",0.833333333,"12",0.569,"Exposure"
"173",0.833333333,"13",0.603,"Exposure"
"174",0.833333333,"14",0.547,"Exposure"
"175",0.833333333,"15",0.588,"Exposure"
"176",2.5,"16",0.573,"Exposure"
"177",2.5,"17",0.567,"Exposure"
"178",2.5,"18",0.577,"Exposure"
"179",2.5,"19",0.542,"Exposure"
"180",2.5,"20",0.585,"Exposure"
"181",8.333333333,"21",0.628,"Exposure"
"182",8.333333333,"22",0.595,"Exposure"
"183",8.333333333,"23",0.53,"Exposure"
"184",8.333333333,"24",0.6,"Exposure"
"185",8.333333333,"25",0.592,"Exposure"
"186",25,"26",0.576,"Exposure"
"187",25,"27",0.618,"Exposure"
"188",25,"28",0.607,"Exposure"
"189",25,"29",0.404,"Exposure"
"190",25,"30",0.445,"Exposure"
"191",83.33333333,"31",0.331,"Exposure"
"192",83.33333333,"32",0.41,"Exposure"
"193",83.33333333,"33",0.452,"Exposure"
"194",83.33333333,"34",0.44,"Exposure"
"195",83.33333333,"35",0.421,"Exposure"
"196",250,"36",0.322,"Exposure"
"197",250,"37",0.226,"Exposure"
"198",250,"38",0.294,"Exposure"
"199",250,"39",0.4,"Exposure"
"200",250,"40",0.419,"Exposure"
"201",0.01,"1",0.577,"Exposure"
"202",0.01,"2",0.563,"Exposure"
"203",0.01,"3",0.588,"Exposure"
"204",0.01,"4",0.633,"Exposure"
"205",0.01,"5",0.559,"Exposure"
"206",0.25,"6",0.58,"Exposure"
"207",0.25,"7",0.597,"Exposure"
"208",0.25,"8",0.612,"Exposure"
"209",0.25,"9",0.632,"Exposure"
"210",0.25,"10",0.547,"Exposure"
"211",0.833333333,"11",0.595,"Exposure"
"212",0.833333333,"12",0.572,"Exposure"
"213",0.833333333,"13",0.576,"Exposure"
"214",0.833333333,"14",0.504,"Exposure"
"215",0.833333333,"15",0.563,"Exposure"
"216",2.5,"16",0.59,"Exposure"
"217",2.5,"17",0.561,"Exposure"
"218",2.5,"18",0.573,"Exposure"
"219",2.5,"19",0.564,"Exposure"
"220",2.5,"20",0.558,"Exposure"
