"","raw.x","plug","prop","time"
"193",0.01,"1",0.6,"Exposure"
"194",0.01,"2",0.578,"Exposure"
"195",0.01,"3",0.524,"Exposure"
"196",0.01,"4",0.298,"Exposure"
"197",0.01,"5",0.625,"Exposure"
"198",0.01,"6",0.619,"Exposure"
"199",0.25,"7",0.596,"Exposure"
"200",0.25,"8",0.607,"Exposure"
"201",0.25,"9",0.659,"Exposure"
"202",0.25,"10",0.547,"Exposure"
"203",0.25,"11",0.555,"Exposure"
"204",0.25,"12",0.59,"Exposure"
"205",0.833333333,"13",0.632,"Exposure"
"206",0.833333333,"14",0.602,"Exposure"
"207",0.833333333,"15",0.613,"Exposure"
"208",0.833333333,"16",0.289,"Exposure"
"209",0.833333333,"17",0.578,"Exposure"
"210",0.833333333,"18",0.635,"Exposure"
"211",2.5,"19",0.606,"Exposure"
"212",2.5,"20",0.512,"Exposure"
"213",2.5,"21",0.414,"Exposure"
"214",2.5,"22",0.629,"Exposure"
"215",2.5,"23",0.504,"Exposure"
"216",2.5,"24",0.545,"Exposure"
"217",8.333333333,"25",0.535,"Exposure"
"218",8.333333333,"26",0.515,"Exposure"
"219",8.333333333,"27",0.483,"Exposure"
"220",8.333333333,"28",0.622,"Exposure"
"221",8.333333333,"29",0.389,"Exposure"
"222",8.333333333,"30",0.555,"Exposure"
"223",25,"31",0.395,"Exposure"
"224",25,"32",0.591,"Exposure"
"225",25,"33",0.166,"Exposure"
"226",25,"34",0.602,"Exposure"
"227",25,"35",0.55,"Exposure"
"228",25,"36",0.529,"Exposure"
"229",83.33333333,"37",0.24,"Exposure"
"230",83.33333333,"38",0.318,"Exposure"
"231",83.33333333,"39",0.252,"Exposure"
"232",83.33333333,"40",0.287,"Exposure"
"233",83.33333333,"41",0.069,"Exposure"
"234",83.33333333,"42",0.259,"Exposure"
"235",250,"43",0.271,"Exposure"
"236",250,"44",0.131,"Exposure"
"237",250,"45",0.34,"Exposure"
"238",250,"46",0.382,"Exposure"
"239",250,"47",0.411,"Exposure"
"240",250,"48",0.382,"Exposure"
"241",0.01,"1",0.631,"Exposure"
"242",0.01,"2",0.551,"Exposure"
"243",0.01,"3",0.58,"Exposure"
"244",0.01,"4",0.503,"Exposure"
"245",0.01,"5",0.642,"Exposure"
"246",0.01,"6",0.628,"Exposure"
"247",0.25,"7",0.55,"Exposure"
"248",0.25,"8",0.523,"Exposure"
"249",0.25,"9",0.591,"Exposure"
"250",0.25,"10",0.574,"Exposure"
"251",0.25,"11",0.646,"Exposure"
"252",0.25,"12",0.545,"Exposure"
"253",0.833333333,"13",0.64,"Exposure"
"254",0.833333333,"14",0.604,"Exposure"
"255",0.833333333,"15",0.621,"Exposure"
"256",0.833333333,"16",0.41,"Exposure"
"257",0.833333333,"17",0.622,"Exposure"
"258",0.833333333,"18",0.637,"Exposure"
"259",2.5,"19",0.618,"Exposure"
"260",2.5,"20",0.587,"Exposure"
"261",2.5,"21",0.524,"Exposure"
"262",2.5,"22",0.564,"Exposure"
"263",2.5,"23",0.622,"Exposure"
"264",2.5,"24",0.546,"Exposure"
"265",8.333333333,"25",0.481,"Exposure"
"266",8.333333333,"26",0.544,"Exposure"
"267",8.333333333,"27",0.565,"Exposure"
"268",8.333333333,"28",0.537,"Exposure"
"269",8.333333333,"29",0.469,"Exposure"
"270",8.333333333,"30",0.597,"Exposure"
"271",25,"31",0.342,"Exposure"
"272",25,"32",0.602,"Exposure"
