"","site","orient","disc","struc","count","tot","prop"
"15","fb","top","15","2",8,30,0.266666666666667
"16","fb","top","16","2",0,30,0
"17","fb","top","17","2",3,30,0.1
"18","fb","top","18","2",4,30,0.133333333333333
"19","fb","top","19","2",16,30,0.533333333333333
"20","fb","top","20","2",7,30,0.233333333333333
"21","fb","top","21","2",11,30,0.366666666666667
"22","fb","bot","22","2",14,30,0.466666666666667
"23","fb","bot","23","2",18,30,0.6
"24","fb","bot","24","2",9,30,0.3
"25","fb","bot","25","2",10,30,0.333333333333333
"26","fb","bot","26","2",5,30,0.166666666666667
"27","fb","bot","27","2",6,30,0.2
"28","fb","bot","28","2",11,30,0.366666666666667
"29","fb","top","29","3",4,30,0.133333333333333
"30","fb","top","30","3",0,30,0
"31","fb","top","31","3",0,30,0
"32","fb","top","32","3",9,30,0.3
"33","fb","top","33","3",7,30,0.233333333333333
"34","fb","top","34","3",1,30,0.0333333333333333
"35","fb","top","35","3",0,30,0
"36","fb","bot","36","3",19,30,0.633333333333333
"37","fb","bot","37","3",13,30,0.433333333333333
"38","fb","bot","38","3",13,30,0.433333333333333
"39","fb","bot","39","3",12,30,0.4
"40","fb","bot","40","3",23,30,0.766666666666667
"41","fb","bot","41","3",29,30,0.966666666666667
"42","fb","bot","42","3",21,30,0.7
"43","pb","top","43","1",4,30,0.133333333333333
"44","pb","top","44","1",3,30,0.1
"45","pb","top","45","1",9,30,0.3
"46","pb","top","46","1",5,30,0.166666666666667
"47","pb","top","47","1",1,30,0.0333333333333333
"48","pb","top","48","1",4,30,0.133333333333333
"49","pb","top","49","1",2,30,0.0666666666666667
"51","pb","bot","51","1",15,30,0.5
"52","pb","bot","52","1",12,30,0.4
"53","pb","bot","53","1",15,30,0.5
"54","pb","bot","54","1",12,30,0.4
"55","pb","bot","55","1",3,30,0.1
"56","pb","bot","56","1",16,30,0.533333333333333
"57","pb","top","57","2",0,30,0
"58","pb","top","58","2",6,30,0.2
"59","pb","top","59","2",4,30,0.133333333333333
"60","pb","top","60","2",8,30,0.266666666666667
"61","pb","top","61","2",3,30,0.1
"62","pb","top","62","2",7,30,0.233333333333333
"63","pb","top","63","2",10,30,0.333333333333333
"64","pb","bot","64","2",10,30,0.333333333333333
"65","pb","bot","65","2",2,30,0.0666666666666667
"66","pb","bot","66","2",6,30,0.2
"67","pb","bot","67","2",9,30,0.3
"68","pb","bot","68","2",6,30,0.2
"69","pb","bot","69","2",13,30,0.433333333333333
"70","pb","bot","70","2",8,30,0.266666666666667
"71","pb","top","71","3",13,30,0.433333333333333
"72","pb","top","72","3",9,30,0.3
"73","pb","top","73","3",17,30,0.566666666666667
"75","pb","top","75","3",0,30,0
"76","pb","top","76","3",4,30,0.133333333333333
"77","pb","top","77","3",2,30,0.0666666666666667
"78","pb","bot","78","3",12,30,0.4
"79","pb","bot","79","3",11,30,0.366666666666667
"80","pb","bot","80","3",4,30,0.133333333333333
"81","pb","bot","81","3",6,30,0.2
"83","pb","bot","83","3",12,30,0.4
"84","pb","bot","84","3",14,30,0.466666666666667
