"","orient","site",".value"
"1","top - bot","fb",-1.7203748925203
"2","top - bot","fb",-1.47776258884061
"3","top - bot","fb",-1.43533002015336
"4","top - bot","fb",-1.29003386621435
"5","top - bot","fb",-1.14551030200673
"6","top - bot","fb",-1.73228075800771
"7","top - bot","fb",-2.11038604021965
"8","top - bot","fb",-1.57022989238275
"9","top - bot","fb",-2.10135615525852
"10","top - bot","fb",-1.31031967412899
"11","top - bot","fb",-1.47963480312298
"12","top - bot","fb",-1.76727255126471
"13","top - bot","fb",-1.770604971361
"14","top - bot","fb",-1.84331434213741
"15","top - bot","fb",-1.48236373751355
"16","top - bot","fb",-2.19097618654935
"17","top - bot","fb",-2.1755712476219
"18","top - bot","fb",-1.93105255149313
"19","top - bot","fb",-2.03072219032003
"20","top - bot","fb",-1.8811724711208
"21","top - bot","fb",-1.85857312107808
"22","top - bot","fb",-1.7484907773164
"23","top - bot","fb",-1.44477716206375
"24","top - bot","fb",-2.58109446838881
"25","top - bot","fb",-2.56653109584146
"26","top - bot","fb",-2.00091980560978
"27","top - bot","fb",-2.01783634341746
"28","top - bot","fb",-1.9907753227314
"29","top - bot","fb",-1.91266833647433
"30","top - bot","fb",-1.9360193655584
"31","top - bot","fb",-2.03781896662103
"32","top - bot","fb",-2.45920687131811
"33","top - bot","fb",-2.26060167021272
"34","top - bot","fb",-1.96895003611377
"35","top - bot","fb",-1.80707344954305
"36","top - bot","fb",-1.87393778839062
"37","top - bot","fb",-1.74927807653793
"38","top - bot","fb",-2.06058502881238
"39","top - bot","fb",-2.08861488809249
"40","top - bot","fb",-2.08432761781883
"41","top - bot","fb",-2.07813895211328
"42","top - bot","fb",-2.30216215623379
"43","top - bot","fb",-2.21178761515894
"44","top - bot","fb",-1.82202088857852
"45","top - bot","fb",-1.91028815099668
"46","top - bot","fb",-1.49461037826556
"47","top - bot","fb",-1.50052560522489
"48","top - bot","fb",-1.77577394528892
"49","top - bot","fb",-1.48524226306211
"50","top - bot","fb",-1.85309090864982
"51","top - bot","fb",-1.91450181944759
"52","top - bot","fb",-2.98392545430576
"53","top - bot","fb",-2.66287517950993
"54","top - bot","fb",-2.24087320177101
"55","top - bot","fb",-2.6599830509034
"56","top - bot","fb",-2.61758765364017
"57","top - bot","fb",-2.44179171192631
"58","top - bot","fb",-1.83314658941982
"59","top - bot","fb",-1.99867062939163
"60","top - bot","fb",-1.92973248771902
"61","top - bot","fb",-2.57851905894734
"62","top - bot","fb",-2.32276504661469
"63","top - bot","fb",-2.39580058200128
"64","top - bot","fb",-1.93450610086979
"65","top - bot","fb",-2.24377899844945
"66","top - bot","fb",-2.18454208428139
"67","top - bot","fb",-1.92387362134198
"68","top - bot","fb",-1.45359516633166
"69","top - bot","fb",-1.96145375256684
"70","top - bot","fb",-1.77328138830455
"71","top - bot","fb",-2.07123065280682
"72","top - bot","fb",-1.93121964832151
"73","top - bot","fb",-1.98586671000481
"74","top - bot","fb",-2.19425092513052
"75","top - bot","fb",-2.03732608497752
"76","top - bot","fb",-1.86981759363286
"77","top - bot","fb",-1.8586993566829
"78","top - bot","fb",-1.76361067854384
"79","top - bot","fb",-1.98454858798361
"80","top - bot","fb",-2.65420000025351
"81","top - bot","fb",-2.27440760593666
"82","top - bot","fb",-1.96078752646128
"83","top - bot","fb",-2.06096986609741
"84","top - bot","fb",-1.57871526136638
"85","top - bot","fb",-1.57585075180849
"86","top - bot","fb",-1.72580728876577
"87","top - bot","fb",-1.71845524012831
"88","top - bot","fb",-1.6588503004229
"89","top - bot","fb",-1.70710275692985
"90","top - bot","fb",-1.21960865945635
"91","top - bot","fb",-1.69698820683548
"92","top - bot","fb",-1.98826564758834
"93","top - bot","fb",-1.50541151780624
"94","top - bot","fb",-1.55481829943219
"95","top - bot","fb",-1.28197305931236
"96","top - bot","fb",-2.15426744665246
"97","top - bot","fb",-1.97620839265594
"98","top - bot","fb",-1.54880100994568
"99","top - bot","fb",-1.28031272934348
"100","top - bot","fb",-1.33720606354922
"101","top - bot","fb",-1.60177501048972
"102","top - bot","fb",-1.54965150756336
"103","top - bot","fb",-1.9089477597398
"104","top - bot","fb",-1.3866169286772
"105","top - bot","fb",-2.27813213597805
"106","top - bot","fb",-2.15193449201538
"107","top - bot","fb",-2.21957578158218
"108","top - bot","fb",-1.95057992978513
